Date,Open,High,Low,Close,Volume
2006-08-14,185.93,187.75,184.51,184.89,4968614
2006-08-15,187.24,191.02,186.48,190.67,6699844
2006-08-16,191.93,194.41,191.25,194.05,5853626
2006-08-17,193.38,195.19,192.15,193.09,5080326
2006-08-18,193.34,193.73,190.56,191.87,4952934
2006-08-21,189.23,189.68,187.79,188.83,4120021
2006-08-22,189.05,189.81,187.6,189.33,4164286
2006-08-23,189.0,189.32,186.51,186.9,3644331
2006-08-24,187.4,188.38,186.31,187.05,3484226
2006-08-25,186.72,187.84,186.43,186.81,2467697
2006-08-28,187.99,190.66,187.68,190.66,4165511
2006-08-29,190.57,191.35,188.78,189.66,4465569
2006-08-30,189.79,192.51,189.44,190.56,4043381
2006-08-31,190.93,191.26,189.28,189.45,2967829
2006-09-01,190.68,190.82,188.78,189.48,2674099
2006-09-05,190.12,192.89,188.9,192.37,4075696
2006-09-06,191.24,191.78,190.01,190.25,3727247
2006-09-07,189.88,191.06,188.88,189.43,3842020
2006-09-08,188.54,190.58,188.54,189.11,3083687
2006-09-11,189.31,192.53,189.07,192.23,4529209
2006-09-12,192.69,196.56,192.63,196.14,5467584
2006-09-13,197.77,203.58,197.74,203.48,9770012
2006-09-14,202.35,203.34,201.16,202.19,5367264
2006-09-15,203.94,205.22,203.57,205.14,7841361
2006-09-18,205.2,209.55,204.93,207.55,7112081
2006-09-19,207.93,207.95,196.56,202.1,14296993
2006-09-20,203.75,203.89,197.5,198.69,9154036
2006-09-21,200.34,204.42,200.12,203.62,10696761
2006-09-22,202.69,203.92,200.87,202.09,4649781
2006-09-25,202.99,204.92,201.45,202.19,5741665
2006-09-26,202.95,204.04,201.08,203.63,5294954
2006-09-27,203.35,205.81,201.38,201.66,5977574
2006-09-28,202.24,203.69,200.46,201.99,5112270
2006-09-29,202.76,203.01,200.9,201.14,3314271
2006-10-02,201.14,203.2,200.59,200.91,3652860
2006-10-03,200.84,203.43,199.29,202.22,5466991
2006-10-04,202.68,208.09,201.72,208.05,6665603
2006-10-05,207.55,209.32,205.63,206.1,5791267
2006-10-06,205.31,211.16,205.07,210.45,7339021
2006-10-09,212.61,216.18,211.92,214.71,7606719
2006-10-10,215.99,219.14,211.4,213.53,9791240
2006-10-11,212.72,215.16,212.09,213.46,5636120
2006-10-12,214.49,215.05,212.21,213.93,4848073
2006-10-13,214.09,214.96,212.99,213.86,3623024
2006-10-16,214.06,214.81,210.87,211.08,4319941
2006-10-17,210.35,212.08,208.55,210.52,5225527
2006-10-18,211.7,212.58,208.95,209.86,6018380
2006-10-19,210.32,214.96,209.99,213.24,11819367
2006-10-20,229.72,230.27,227.01,230.06,11653310
2006-10-23,231.36,242.56,230.41,240.62,15113954
2006-10-24,238.37,239.16,235.93,236.88,8573304
2006-10-25,238.98,244.49,237.79,243.54,9193703
2006-10-26,244.08,246.22,242.33,242.79,7041034
2006-10-27,242.19,242.86,236.47,237.83,6607214
2006-10-30,237.64,240.46,235.23,238.52,6564929
2006-10-31,239.26,241.31,237.15,238.43,6290913
2006-11-01,239.61,239.8,232.86,233.98,5432936
2006-11-02,233.98,237.09,233.42,235.18,5237726
2006-11-03,236.34,237.1,232.76,236.13,4909128
2006-11-06,237.11,240.06,236.39,238.71,4994005
2006-11-07,238.71,239.74,236.11,236.51,4899975
2006-11-08,235.4,241.1,234.53,237.73,7967989
2006-11-09,238.48,239.98,236.16,236.54,4881874
2006-11-10,237.12,237.59,235.37,237.0,2799553
2006-11-13,237.68,240.82,237.3,240.75,4346003
2006-11-14,240.58,245.21,240.48,244.89,7227386
2006-11-15,246.95,250.17,246.2,246.2,8375966
2006-11-16,247.74,249.08,246.52,248.19,5095517
2006-11-17,246.86,250.07,246.74,249.64,5523304
2006-11-20,249.44,249.44,246.56,247.77,5125836
2006-11-21,248.51,255.25,248.16,255.07,8437379
2006-11-22,255.73,256.75,253.14,254.25,4502581
2006-11-24,252.49,254.0,252.24,252.74,1734759
2006-11-27,250.93,251.13,242.61,242.61,7328930
2006-11-28,240.8,245.17,238.75,244.99,7805521
2006-11-29,247.36,247.61,241.36,242.56,6316158
2006-11-30,242.33,245.44,241.01,242.64,5578592
2006-12-01,243.23,244.43,239.48,240.63,5632131
2006-12-04,241.73,243.95,239.91,242.66,4908948
2006-12-05,243.94,244.96,242.68,243.74,4104051
2006-12-06,243.72,246.44,242.49,244.59,4452242
2006-12-07,245.35,246.14,241.44,241.55,4664925
2006-12-08,241.2,244.54,240.23,242.29,3980487
2006-12-11,242.7,244.69,242.13,242.2,3265994
2006-12-12,242.16,243.42,240.37,241.12,4213915
2006-12-13,242.58,242.99,238.74,239.73,4664176
2006-12-14,240.36,242.11,238.86,241.29,4759376
2006-12-15,241.55,242.29,240.15,240.38,5249798
2006-12-18,241.49,241.6,230.58,231.62,8019415
2006-12-19,231.08,234.88,229.47,234.54,6590738
2006-12-20,235.23,235.98,231.39,231.67,4382715
2006-12-21,232.32,232.85,226.39,228.32,6964912
2006-12-22,228.97,229.54,226.58,228.01,3989025
2006-12-26,228.48,229.96,227.52,228.99,2075834
2006-12-27,230.22,234.27,229.77,234.24,4232499
2006-12-28,233.79,234.52,231.35,231.5,3140196
2006-12-29,231.27,232.46,230.15,230.46,2559797
2007-01-03,232.91,238.56,230.78,234.02,7722839
2007-01-04,234.73,242.21,234.4,241.86,7916458
2007-01-05,241.48,243.99,239.29,243.83,6875518
2007-01-08,244.08,245.17,241.33,242.02,4756244
2007-01-09,242.96,244.36,240.83,242.99,5383293
2007-01-10,242.45,247.01,241.25,244.97,5978283
2007-01-11,248.84,251.12,248.33,250.1,7227025
2007-01-12,251.24,252.74,250.24,252.74,4477311
2007-01-16,254.02,256.75,251.89,252.38,7579201
2007-01-17,251.94,254.13,247.43,248.88,6708439
2007-01-18,247.5,248.48,243.95,244.15,5932894
2007-01-19,244.23,245.62,243.61,245.11,4980576
2007-01-22,246.49,246.56,239.48,240.65,5407309
2007-01-23,240.63,242.61,238.88,239.76,4686879
2007-01-24,242.56,250.01,241.88,249.78,6074077
2007-01-25,250.74,252.49,243.07,244.28,6444810
2007-01-26,245.7,249.19,243.75,248.16,5497964
2007-01-29,249.24,249.62,245.49,246.47,4778995
2007-01-30,247.24,249.24,245.85,247.4,4185385
2007-01-31,248.49,252.74,248.0,250.99,12402800
2007-02-01,253.25,253.25,241.0,241.11,15669297
2007-02-02,241.54,242.74,239.14,240.98,6318650
2007-02-05,238.98,239.23,233.32,233.81,7210422
2007-02-06,234.28,236.88,233.86,235.97,5326388
2007-02-07,237.23,237.41,234.62,235.23,4121831
2007-02-08,234.25,237.1,232.8,235.74,4077666
2007-02-09,236.05,236.57,230.97,231.17,4860271
2007-02-12,230.56,231.42,227.73,229.37,5754929
2007-02-13,229.8,231.61,228.85,229.77,4147588
2007-02-14,230.22,234.79,229.83,233.19,5700073
2007-02-15,233.23,233.29,230.58,230.96,4049689
2007-02-16,231.62,235.3,231.25,235.2,6179713
2007-02-20,234.46,236.6,232.58,236.28,4069032
2007-02-21,235.15,239.57,234.1,238.16,5643426
2007-02-22,239.58,242.35,237.43,238.16,5747347
2007-02-23,238.11,238.71,234.13,235.54,3885580
2007-02-26,236.64,237.86,232.1,232.69,3990296
2007-02-27,227.72,230.12,223.8,224.6,9338828
2007-02-28,225.42,227.06,221.73,224.94,8046584
2007-03-01,221.51,226.43,220.21,224.33,8689893
2007-03-02,222.77,224.57,219.55,219.55,6586724
2007-03-05,218.72,222.97,218.71,220.69,6359581
2007-03-06,223.95,229.72,223.91,229.0,7537169
2007-03-07,231.56,231.79,227.37,228.04,6534977
2007-03-08,229.83,232.98,227.27,227.58,5363496
2007-03-09,229.22,229.42,225.27,226.7,4977644
2007-03-12,226.5,227.85,225.77,227.6,3467969
2007-03-13,225.27,226.18,221.63,221.73,6379234
2007-03-14,221.83,224.55,219.71,224.22,8021553
2007-03-15,224.15,225.13,222.19,223.31,3947143
2007-03-16,223.04,223.57,220.16,220.64,5669244
2007-03-19,221.84,224.47,220.53,223.83,5200733
2007-03-20,223.11,224.02,222.02,222.86,3422340
2007-03-21,222.87,228.51,222.82,228.5,5801900
2007-03-22,228.03,231.31,226.48,231.24,5727728
2007-03-23,230.94,231.92,228.76,231.14,4114854
2007-03-26,230.5,232.73,228.03,232.73,4711009
2007-03-27,232.0,232.84,230.39,232.03,3742166
2007-03-28,231.16,232.95,230.3,231.16,4641156
2007-03-29,232.5,233.23,227.72,230.68,3989119
2007-03-30,231.27,231.92,228.29,229.3,3380752
2007-04-02,229.1,229.49,226.28,229.49,3448632
2007-04-03,232.31,237.36,232.23,236.53,6518088
2007-04-04,236.3,236.73,235.02,235.74,3779646
2007-04-05,235.88,236.27,235.04,235.98,2716305
2007-04-09,236.72,236.73,233.02,234.33,3063964
2007-04-10,233.77,235.62,232.81,233.48,2979518
2007-04-11,233.26,234.93,231.53,232.49,3824385
2007-04-12,232.23,234.23,231.34,233.92,2711803
2007-04-13,234.45,234.61,231.9,233.37,2800330
2007-04-16,234.46,238.73,234.3,237.37,5080883
2007-04-17,237.13,238.43,236.03,236.63,3216071
2007-04-18,235.86,240.18,234.99,238.24,5672972
2007-04-19,237.48,241.21,235.02,236.05,11225221
2007-04-20,245.5,246.49,241.24,241.47,12224690
2007-04-23,240.28,242.74,239.36,239.77,5679371
2007-04-24,239.54,240.22,238.01,239.0,3699323
2007-04-25,240.23,240.92,238.29,239.23,3972723
2007-04-26,239.28,242.46,238.79,240.82,4132037
2007-04-27,240.27,241.43,239.4,239.74,2927857
2007-04-30,239.81,240.91,235.92,235.92,3645852
2007-05-01,236.32,236.63,232.31,234.73,3658854
2007-05-02,234.55,235.77,233.09,233.12,3080494
2007-05-03,233.34,237.26,232.87,236.84,3596694
2007-05-04,235.29,237.65,233.17,235.79,3951998
2007-05-07,236.3,236.64,233.46,233.86,3022311
2007-05-08,233.29,234.31,232.59,233.63,2908622
2007-05-09,233.3,236.09,232.16,234.85,3892236
2007-05-10,233.75,234.97,230.73,230.96,3691513
2007-05-11,231.14,233.73,230.72,233.6,2946785
2007-05-14,232.97,233.98,230.22,231.11,3873493
2007-05-15,231.2,231.49,228.93,229.22,4119544
2007-05-16,231.22,236.8,229.73,236.53,6563239
2007-05-17,236.46,237.84,235.63,235.71,4667201
2007-05-18,236.24,236.58,235.1,235.39,3698419
2007-05-21,234.99,239.83,233.59,235.53,6168614
2007-05-22,236.73,239.74,236.73,238.16,3840233
2007-05-23,240.64,241.94,237.1,237.21,5086490
2007-05-24,237.81,239.83,235.98,237.4,4200474
2007-05-25,240.08,242.71,238.87,241.99,5348921
2007-05-29,242.74,246.14,242.23,243.79,5221872
2007-05-30,242.48,249.66,241.73,249.54,7299636
2007-05-31,250.52,254.64,248.77,249.2,8927564
2007-06-01,250.74,252.75,249.21,250.44,4806878
2007-06-04,249.2,255.5,249.04,253.78,7103954
2007-06-05,255.12,259.75,253.55,259.67,10459611
2007-06-06,258.63,260.64,257.88,259.38,7899928
2007-06-07,260.13,263.51,256.5,257.78,10641285
2007-06-08,258.35,260.07,254.98,258.0,6362612
2007-06-11,257.26,259.38,255.25,255.92,4654821
2007-06-12,254.6,256.08,251.83,252.63,6423044
2007-06-13,253.79,254.52,249.59,252.87,7042609
2007-06-14,252.94,253.19,251.09,251.66,4624604
2007-06-15,254.34,254.75,250.86,253.19,6174767
2007-06-18,253.34,258.25,252.36,257.85,4844965
2007-06-19,257.25,258.88,256.02,257.4,4384299
2007-06-20,258.73,259.63,254.78,255.23,4340703
2007-06-21,255.74,257.89,253.39,257.3,4410593
2007-06-22,258.46,262.75,258.3,262.74,7288206
2007-06-25,264.75,267.75,261.94,263.97,7926891
2007-06-26,266.62,266.86,263.38,265.39,5690466
2007-06-27,262.75,264.25,260.03,263.4,6126644
2007-06-28,262.69,265.01,262.15,262.76,4174304
2007-06-29,263.27,263.96,259.98,261.6,3881781
2007-07-02,263.0,266.18,262.35,265.45,3496531
2007-07-03,265.79,267.46,264.01,267.43,1871795
2007-07-05,268.04,272.46,266.33,271.08,4943783
2007-07-06,270.89,272.2,269.63,269.96,2747194
2007-07-09,271.76,274.64,270.39,271.54,3731529
2007-07-10,272.16,273.77,271.09,271.93,3856200
2007-07-11,272.07,273.52,270.27,272.5,3311848
2007-07-12,273.19,273.93,270.37,272.93,3443154
2007-07-13,274.22,276.6,273.89,276.35,5238051
2007-07-16,275.42,279.56,274.92,276.76,6601545
2007-07-17,277.79,279.14,276.46,277.77,4331404
2007-07-18,277.21,277.52,272.17,275.02,6084148
2007-07-19,277.0,277.03,271.38,274.56,11127140
2007-07-20,256.2,261.84,255.0,260.31,17775312
2007-07-23,259.76,260.25,256.32,256.5,6356603
2007-07-24,254.9,259.6,253.8,257.25,5741426
2007-07-25,258.74,258.76,253.03,255.13,5556426
2007-07-26,254.62,256.54,249.68,254.25,6894330
2007-07-27,254.51,258.56,253.0,256.19,5509031
2007-07-30,256.71,259.92,255.5,258.31,3967248
2007-07-31,260.37,260.47,255.25,255.25,4270981
2007-08-01,255.5,258.51,254.32,256.72,4428166
2007-08-02,257.11,257.74,254.75,255.75,3156501
2007-08-03,255.27,256.85,251.74,251.74,3176402
2007-08-06,251.74,255.32,251.49,255.25,3651924
2007-08-07,255.12,260.19,254.77,258.26,4267391
2007-08-08,259.92,263.15,258.8,263.15,4069106
2007-08-09,260.65,263.67,257.56,257.61,4849116
2007-08-10,255.34,259.61,253.06,258.13,5884602
2007-08-13,260.02,260.13,256.76,258.0,3179214
2007-08-14,258.11,258.95,254.25,254.55,3634035
2007-08-15,254.75,256.09,248.6,249.02,5409677
2007-08-16,246.25,248.46,240.46,246.0,8645559
2007-08-17,248.96,250.74,246.06,250.26,5482030
2007-08-20,251.47,251.52,248.24,249.2,2698225
2007-08-21,249.71,254.33,249.13,253.55,3618508
2007-08-22,255.23,258.38,254.87,256.62,3255994
2007-08-23,258.25,258.32,253.75,256.34,3077240
2007-08-24,256.55,258.03,254.5,257.75,2473013
